Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf41U	2	18	18	0.081	0.81	20	0.0184	0.2683	0.0173	1.479099678	20.08842444	0.635562087
Hf41U	2	18	18	0.081	0.81	10	0.0096	0.1385	0.0088	1.54340836	20.72347267	0.646583395
Hf41U	2	18	32	0.081	0.81	20	0.0902	0.3284	0	7.250803859	19.14790997	0
Hf41U	2	18	32	0.081	0.81	10	0.0411	0.2172	0.0148	6.607717042	28.31189711	1.087435709
Hf43U	2	18	18	0.077	0.77	20	0.0215	0.2463	0.0184	1.72829582	18.07073955	0.675973549
Hf43U	2	18	18	0.077	0.77	10	0.0099	0.1252	0.009	1.591639871	18.53697749	0.661278472
Hf43U	2	18	32	0.077	0.77	20	0.1038	0.4446	0.0362	8.344051447	27.39549839	1.329904482
Hf43U	2	18	32	0.077	0.77	10	0.0493	0.204	0.0195	7.926045016	24.87138264	1.432770022
Hf44U	2	18	18	0.063	0.63	20	0.0192	0.1091	0.0158	1.54340836	7.226688103	0.580455547
Hf44U	2	18	18	0.063	0.63	10	0.0095	0.051	0.0082	1.52733119	6.672025723	0.602498163
Hf44U	2	18	32	0.063	0.63	20	0.0984	0.2273	0.0303	7.909967846	10.36173633	1.113152094
Hf44U	2	18	32	0.063	0.63	10	0.0469	0.1128	0.0171	7.540192926	10.59485531	1.256429096
Hf46U	2	18	18	0.104	1.04	20	0.0222	0.2257	0.0302	1.784565916	16.3585209	1.109478325
Hf46U	2	18	18	0.104	1.04	10	0.0095	0.1128	0.0102	1.52733119	16.60771704	0.749448935
Hf46U	2	18	32	0.104	1.04	20	0.1084	0.3964	0.0411	8.713826367	23.1511254	1.509919177
Hf46U	2	18	32	0.104	1.04	10	0.0503	0.1887	0.0194	8.08681672	22.25080386	1.425422483
Hf47U	2	18	18	0.082	0.82	20	0.0195	0.2698	0.0147	1.567524116	20.12057878	0.540044085
