Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf121U	4	18	18	0.07	0.7	20	0.0199	0.1158	0.0213	1.599678457	7.709003215	0.782512858
Hf121U	4	18	18	0.07	0.7	10	0.0095	0.0585	0.0111	1.52733119	7.877813505	0.815576782
Hf121U	4	18	32	0.07	0.7	20	0.1173	0.2705	0.0348	9.42926045	12.31511254	1.278471712
Hf121U	4	18	32	0.07	0.7	10	0.0527	0.1275	0.0186	8.47266881	12.02572347	1.366642175
Hf122U	4	18	18	0.078	0.78	20	0.0207	0.2352	0.0219	1.663987138	17.24276527	0.804555474
Hf122U	4	18	18	0.078	0.78	10	0.0095	0.1139	0.0111	1.52733119	16.78456592	0.815576782
Hf122U	4	18	32	0.078	0.78	20	0.1057	0.402	0.0355	8.496784566	23.81832797	1.304188097
Hf122U	4	18	32	0.078	0.78	10	0.0459	0.1949	0.0173	7.379421222	23.95498392	1.271124173
Hf123U	4	18	18	0.094	0.94	20	0.016	0.2611	0.0139	1.286173633	19.70257235	0.510653931
Hf123U	4	18	18	0.094	0.94	10	0.0071	0.1362	0.0061	1.1414791	20.75562701	0.448199853
Hf123U	4	18	32	0.094	0.94	20	0.082	0.5667	0.0242	6.591639871	38.96302251	0.889052168
Hf123U	4	18	32	0.094	0.94	10	0.038	0.2491	0.0107	6.109324759	33.93890675	0.786186627
Hf124U	4	18	18	0.067	0.67	20	0.0134	0.1756	0.016	1.077170418	13.03858521	0.587803086
Hf124U	4	18	18	0.067	0.67	10	0.0066	0.0845	0.0073	1.061093248	12.52411576	0.536370316
Hf124U	4	18	32	0.067	0.67	20	0.0725	0.334	0.0273	5.827974277	21.02090032	1.002939015
Hf124U	4	18	32	0.067	0.67	10	0.0372	0.1615	0.0134	5.980707395	19.98392283	0.984570169
Hf125U	4	18	18	0.079	0.79	20	0.0202	0.2879	0.0102	1.623794212	21.5192926	0.374724467
Hf125U	4	18	18	0.079	0.79	10	0.0114	0.1404	0.0047	1.832797428	20.73954984	0.345334313
Hf125U	4	18	32	0.079	0.79	20	0.0959	0.4052	0.0181	7.709003215	24.86334405	0.664952241
Hf125U	4	18	32	0.079	0.79	10	0.0435	0.2262	0.0091	6.993569132	29.37299035	0.66862601
Hf130U	4	18	18	0.075	0.75	20	0.0168	0.2918	0.0196	1.350482315	22.10610932	0.72005878
Hf130U	4	18	18	0.075	0.75	10	0.0074	0.1546	0.0102	1.189710611	23.66559486	0.749448935
Hf130U	4	18	32	0.075	0.75	20	0.0901	0.548	0.0374	7.242765273	36.80868167	1.373989713
Hf130U	4	18	32	0.075	0.75	10	0.0458	0.2529	0.0169	7.363344051	33.29581994	1.241734019
Hf133U	4	24	18	0.079	0.79	20	0.0135	0.248	0.0089	1.085209003	18.85048232	0.326965467
Hf133U	4	24	18	0.079	0.79	10	0.0055	0.1321	0.0048	0.884244373	20.35369775	0.352681852
Hf133U	4	24	32	0.079	0.79	20	0.1025	0.432	0.0154	8.239549839	26.48713826	0.56576047
Hf133U	4	24	32	0.079	0.79	10	0.0462	0.2078	0.0079	7.427652733	25.9807074	0.580455547
Hf133U	4	24	32	0.079	0.79	20	0.1025	0.5362	0	0	34.86334405	0
Hf134U	4	24	18	0.088	0.88	20	0.0126	0.1595	0.0129	1.012861736	11.80868167	0.473916238
Hf134U	4	24	18	0.088	0.88	10	0.0052	0.0847	0.0066	0.836012862	12.78135048	0.484937546
Hf134U	4	24	32	0.088	0.88	20	0.1155	0.3138	0.0229	9.284565916	15.94051447	0.841293167
Hf134U	4	24	32	0.088	0.88	10	0.0533	0.1594	0.0111	8.569131833	17.05787781	0.815576782
Hf134U	4	24	32	0.088	0.88	20	0.1155	0.3148	0	0	16.02090032	0
Hf136U	4	24	18	0.077	0.77	20	0.0342	0.3213	0.0129	2.749196141	23.07877814	0.473916238
Hf136U	4	24	18	0.077	0.77	10	0.0146	0.1701	0.0064	2.347266881	25	0.470242469
Hf136U	4	24	32	0.077	0.77	20	0.1394	0.5655	0.0439	11.20578778	34.25241158	0.806392359
Hf136U	4	24	32	0.077	0.77	10	0	0.2767	0.0104	0	0	0.764144012
Hf137U	4	24	18	0.043	0.43	20	0.0609	0.4497	0.0291	4.895498392	31.25401929	1.069066863
Hf137U	4	24	18	0.043	0.43	10	0.027	0.2342	0.0129	4.340836013	33.31189711	0.947832476
Hf137U	4	24	32	0.043	0.43	20	0.2774	0.7161	0.0547	22.29903537	35.26527331	2.0095518
Hf137U	4	24	32	0.043	0.43	10	0.1205	0.4033	0.0246	19.37299035	45.46623794	1.807494489
Hf137U	4	24	18	0.043	0.43	20	0.0609	0.3535	0	0	23.52090032	0
Hf137U	4	24	18	0.043	0.43	10	0.027	0.184	0	0	25.24115756	0
Hf139U	4	24	18	0.077	0.77	20	0.0345	0.3019	0.0108	2.773311897	21.49517685	0.396767083
Hf139U	4	24	18	0.077	0.77	10	0.0143	0.1608	0.0054	2.29903537	23.55305466	0.396767083
Hf139U	4	24	32	0.077	0.77	20	0.1493	0.479	0.0209	12.00160772	26.50321543	0.767817781
Hf139U	4	24	32	0.077	0.77	10	0.0719	0.2772	0.0104	11.55948553	33.00643087	0.764144012
Hf139U	4	24	18	0.077	0.77	20	0.0345	0.2064	0	0	13.81832797	0
Hf139U	4	24	18	0.077	0.77	10	0.0143	0.128	0	0	18.27974277	0
Hf140U	4	24	18	0.085	0.85	20	0.0352	0.3396	0.0189	2.829581994	24.46945338	0.694342395
Hf140U	4	24	18	0.085	0.85	10	0.016	0.176	0	2.572347267	25.72347267	0
Hf140U	4	24	32	0.085	0.85	20	0.1591	0.6368	0.0662	12.78938907	38.40032154	2.432035268
Hf140U	4	24	32	0.085	0.85	10	0.0658	0.3004	0.0148	10.57877814	37.7170418	0.543717855
Hf140U	4	24	18	0.085	0.85	20	0.0352	0.2883	0	2.829581994	20.34565916	0
Hf140U	4	24	18	0.085	0.85	10	0.016	0.1486	0	2.572347267	21.31832797	0
Hf142U	4	30	18	0.072	0.72	20	0.0112	0.2225	0.0204	0.900321543	16.98553055	0.749448935
Hf142U	4	30	18	0.072	0.72	10	0.0127	0.1139	0.0098	2.041800643	16.27009646	0.72005878
Hf142U	4	30	32	0.072	0.72	20	0.1303	0.3927	0.0397	10.47427653	21.09324759	1.458486407
Hf142U	4	30	32	0.072	0.72	10	0.0603	0.2108	0.0183	9.694533762	24.19614148	1.344599559
Hf143U	4	30	18	0.093	0.93	20	0.0177	0.1914	0.012	1.422829582	13.96302251	0.440852314
Hf143U	4	30	18	0.093	0.93	10	0.079	0.0917	0.0061	12.70096463	2.041800643	0.448199853
Hf143U	4	30	32	0.093	0.93	20	0.087	0.3153	0.0217	6.993569132	18.35209003	0.797207935
Hf143U	4	30	32	0.093	0.93	10	0.0385	0.1583	0.0125	6.189710611	19.26045016	0.918442322
Hf144U	4	30	18	0.098	0.98	20	0.0169	0.1474	0.0202	1.3585209	10.4903537	0.742101396
Hf144U	4	30	18	0.098	0.98	10	0.0082	0.0763	0.0102	1.318327974	10.94855305	0.749448935
Hf144U	4	30	32	0.098	0.98	20	0.0895	0.2833	0.0264	7.194533762	15.57877814	0.969875092
Hf144U	4	30	32	0.098	0.98	10	0.0404	0.1355	0.0134	6.495176849	15.28938907	0.984570169
Hf147U	4	30	18	0.096	0.96	20	0.0204	0.2298	0.014	1.639871383	16.83279743	0.5143277
Hf147U	4	30	18	0.096	0.96	10	0.01	0.1101	0.0071	1.607717042	16.09324759	0.521675239
