Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf10BU	1	18	18	0.098	0.98	20	0.0281	0.1867	0.0268	2.258842444	12.74919614	0.984570169
Hf10BU	1	18	18	0.098	0.98	10	0.0138	0.0915	0.0131	2.218649518	12.49196141	0.962527553
Hf10BU	1	18	32	0.098	0.98	20	0.1411	0.3615	0.0556	11.34244373	17.7170418	2.042615724
Hf10BU	1	18	32	0.098	0.98	10	0.0669	0.1978	0.0269	10.75562701	21.04501608	1.976487877
Hf11U	1	24	18	0.076	0.76	20	0.0149	0.2267	0.0104	1.197749196	17.02572347	0.382072006
Hf11U	1	24	18	0.076	0.76	10	0.0061	0.1176	0.0057	0.980707395	17.92604502	0.418809699
Hf11U	1	24	32	0.076	0.76	20	0.0737	0.422	0.0205	5.924437299	27.99839228	0.753122704
Hf11U	1	24	32	0.076	0.76	10	0.035	0.2014	0.01	5.627009646	26.75241158	0.734753857
Hf12U	1	24	18	0.062	0.62	20	0.0145	0.3007	0.0156	1.165594855	23.00643087	0.573108009
Hf12U	1	24	18	0.062	0.62	10	0.0066	0.1499	0.0081	1.061093248	23.03858521	0.595150625
Hf12U	1	24	32	0.062	0.62	20	0.0702	0.4723	0.0294	5.643086817	32.32315113	1.08008817
Hf12U	1	24	32	0.062	0.62	10	0.0342	0.2421	0.0144	5.498392283	33.4244373	1.058045555
Hf14U	1	24	18	0.055	0.55	20	0.0142	0.1828	0.0167	1.1414791	13.55305466	0.613519471
Hf14U	1	24	18	0.055	0.55	10	0.0057	0.0895	0.0088	0.916398714	13.47266881	0.646583395
Hf14U	1	24	32	0.055	0.55	20	0.0724	0.3818	0.033	5.819935691	24.87138264	1.212343865
Hf14U	1	24	32	0.055	0.55	10	0.0343	0.1615	0.0155	5.514469453	20.45016077	1.138868479
Hf15U	1	24	18	0.063	0.63	20	0.0123	0.2133	0.0104	0.988745981	16.15755627	0.382072006
Hf15U	1	24	18	0.063	0.63	10	0.0057	0.1061	0.0057	0.916398714	16.1414791	0.418809699
Hf15U	1	24	32	0.063	0.63	20	0.0725	0.3971	0.0176	5.827974277	26.09324759	0.646583395
Hf15U	1	24	32	0.063	0.63	10	0.0329	0.194	0.0083	5.289389068	25.90032154	0.609845702
Hf17U	1	24	18	0.054	0.54	20	0.0138	0.2578	0.0121	1.109324759	19.61414791	0.444526084
Hf17U	1	24	18	0.054	0.54	10	0.0069	0.1266	0.0058	1.109324759	19.24437299	0.426157237
Hf17U	1	24	32	0.054	0.54	20	0.0768	0.4614	0.0184	6.173633441	30.91639871	0.675973549
Hf17U	1	24	32	0.054	0.54	10	0.0362	0.2261	0.009	5.819935691	30.53054662	0.661278472
Hf18U	1	24	18	0.075	0.75	20	0.0093	0.1841	0.0105	0.747588424	14.05144695	0.385745775
Hf18U	1	24	18	0.075	0.75	10	0.0046	0.0933	0.0055	0.739549839	14.26045016	0.404114622
Hf18U	1	24	32	0.075	0.75	20	0.0583	0.3404	0.0172	4.686495177	22.67684887	0.631888317
Hf18U	1	24	32	0.075	0.75	10	0.027	0.1561	0.0081	4.340836013	20.75562701	0.595150625
Hf21U	1	30	18	0.036	0.36	20	0.0144	0.1399	0.0114	1.15755627	10.08842444	0.418809699
Hf21U	1	30	18	0.036	0.36	10	0.0069	0.0693	0.0061	1.109324759	10.03215434	0.448199853
Hf21U	1	30	32	0.036	0.36	20	0.0762	0.2792	0.0193	6.125401929	16.31832797	0.709037472
Hf21U	1	30	32	0.036	0.36	10	0.0389	0.1357	0.0099	6.254019293	15.56270096	0.727406319
Hf22U	1	30	18	0.074	0.74	20	0.0122	0.2095	0.0131	0.980707395	15.86012862	0.481263777
Hf22U	1	30	18	0.074	0.74	10	0.0054	0.1038	0.0059	0.868167203	15.81993569	0.433504776
Hf22U	1	30	32	0.074	0.74	20	0.0633	0.3401	0.022	5.088424437	22.25080386	0.808229243
Hf22U	1	30	32	0.074	0.74	10	0.0302	0.1775	0.0109	4.855305466	23.68167203	0.800881705
Hf25U	1	30	18	0.086	0.86	20	0.0231	0.1584	0.0106	1.856913183	10.87620579	0.389419544
Hf25U	1	30	18	0.086	0.86	10	0.0119	0.0807	0.0056	1.91318328	11.06109325	0.41146216
Hf25U	1	30	32	0.086	0.86	20	0.1202	0.3098	0.0184	9.662379421	15.24115756	0.675973549
Hf25U	1	30	32	0.086	0.86	10	0.055	0.1468	0.009	8.84244373	14.75884244	0.661278472
Hf27U	1	30	18	0.079	0.79	20	0.0187	0.1888	0.0146	1.503215434	13.67363344	0.536370316
Hf27U	1	30	18	0.079	0.79	10	0.0087	0.0936	0.0073	1.398713826	13.64951768	0.536370316
Hf27U	1	30	32	0.079	0.79	20	0.0969	0.3083	0.0246	7.789389068	16.99356913	0.903747245
Hf27U	1	30	32	0.079	0.79	10	0.0393	0.1556	0.013	6.318327974	18.6977492	0.955180015
Hf28U	1	30	18	0.094	0.94	20	0.0237	0.287	0.0122	1.905144695	21.16559486	0.448199853
Hf28U	1	30	18	0.094	0.94	10	0.0109	0.1535	0.0063	1.752411576	22.92604502	0.46289493
Hf28U	1	30	32	0.094	0.94	20	0.1126	0.5308	0.0222	9.051446945	33.61736334	0.815576782
Hf28U	1	30	32	0.094	0.94	10	0.0512	0.2485	0.0103	8.231511254	31.72025723	0.756796473
Hf29U	1	30	18	0.057	0.57	20	0.0151	0.1271	0.0214	1.213826367	9.003215434	0.786186627
Hf29U	1	30	18	0.057	0.57	10	0.0062	0.062	0.0105	0.996784566	8.971061093	0.77149155
Hf29U	1	30	32	0.057	0.57	20	0.0859	0.248	0.0368	6.905144695	13.03054662	1.351947098
Hf29U	1	30	32	0.057	0.57	10	0.0406	0.1254	0.018	6.52733119	13.63344051	1.322556943
Hf33U	1	32	18	0.139	1.39	20	0.0202	0.1526	0.0152	1.623794212	10.64308682	0.558412932
Hf33U	1	32	18	0.139	1.39	10	0.009	0.0758	0.0076	1.446945338	10.73954984	0.558412932
Hf33U	1	32	32	0.139	1.39	20	0.1002	0.314	0.0301	8.054662379	17.18649518	1.105804555
Hf33U	1	32	32	0.139	1.39	10	0.0467	0.1568	0.0153	7.508038585	17.70096463	1.124173402
Hf34U	1	32	18	0.112	1.12	20	0.0246	0.2115	0.0133	1.977491961	15.02411576	0.488611315
Hf34U	1	32	18	0.112	1.12	10	0.0121	0.1041	0.0065	1.945337621	14.79099678	0.477590007
Hf34U	1	32	32	0.112	1.12	20	0.1028	0.498	0.023	8.263665595	31.76848875	0.844966936
Hf34U	1	32	32	0.112	1.12	10	0.0516	0.2132	0.0118	8.295819936	25.9807074	0.867009552
Hf37U	1	32	18	0.112	1.12	20	0.0182	0.1997	0.0154	1.463022508	14.59003215	0.56576047
Hf37U	1	32	18	0.112	1.12	10	0.0092	0.0976	0.0083	1.479099678	14.21221865	0.609845702
Hf37U	1	32	32	0.112	1.12	20	0.077	0.3831	0.0265	6.189710611	24.60610932	0.973548861
Hf37U	1	32	32	0.112	1.12	10	0.0385	0.194	0.0133	6.189710611	25	0.97722263
Hf38U	1	32	18	0.105	1.05	20	0.0238	0.2979	0.0148	1.91318328	22.03376206	0.543717855
Hf38U	1	32	18	0.105	1.05	10	0.0117	0.1572	0.0081	1.881028939	23.39228296	0.595150625
Hf38U	1	32	32	0.105	1.05	20	0.1051	0.5646	0.0334	8.448553055	36.93729904	1.227038942
Hf38U	1	32	32	0.105	1.05	10	0.0513	0.2542	0.0163	8.247588424	32.62057878	1.197648788
Hf39U	1	32	18	0.033	0.33	20	0.0298	0.095	0.022	2.395498392	5.241157556	0.808229243
